epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,342.376,0.78307,0.68526,0.9501,0.77811,0.71705,0.78682,0.55463,0.9916,0.90204,1.05195,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,352.224,0.76629,0.65695,0.94038,0.73712,0.70032,0.76009,0.55083,0.98246,0.9345,1.05255,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,362.038,0.78742,0.66187,0.94356,0.72309,0.74854,0.78793,0.56257,0.9707,0.87401,1.04007,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,372.241,0.78586,0.66055,0.94972,0.75638,0.71918,0.78468,0.57825,0.9272,0.90717,1.02067,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,382.028,0.7796,0.66582,0.94583,0.79597,0.69251,0.76481,0.56471,0.95476,0.95497,1.02155,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,392.012,0.7751,0.66681,0.94481,0.76741,0.70199,0.75168,0.54699,0.94671,1.05524,1.04272,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,402.097,0.76537,0.63903,0.94026,0.81342,0.68399,0.78563,0.57748,0.93994,0.93668,1.01929,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,412.131,0.76402,0.6442,0.93879,0.74585,0.75128,0.79897,0.58352,0.8974,0.85429,1.0081,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,422.312,0.7458,0.63212,0.9349,0.77568,0.70346,0.78279,0.5837,0.92041,0.85698,1.02258,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,432.446,0.7574,0.62951,0.94018,0.80178,0.7035,0.78458,0.5668,0.94568,0.91068,1.02957,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,442.539,0.76219,0.63841,0.93856,0.759,0.73686,0.79064,0.57466,0.93637,0.88288,1.0236,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,452.689,0.75424,0.62341,0.93923,0.7669,0.71251,0.7744,0.55992,0.94592,0.98247,1.02386,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,462.822,0.75043,0.6231,0.93161,0.76783,0.7435,0.78324,0.56407,0.95195,0.97712,1.02218,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,473.06,0.741,0.61796,0.93405,0.76065,0.72183,0.77689,0.57326,0.88994,0.89918,1.00971,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,483.503,0.72391,0.6031,0.92759,0.7888,0.71273,0.77026,0.55881,0.93341,0.92779,1.03017,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,493.35,0.72045,0.59636,0.92242,0.75166,0.72674,0.77774,0.56527,0.95501,0.88695,1.04908,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,503.068,0.73492,0.60563,0.92868,0.83291,0.6966,0.80452,0.59819,0.88392,0.87568,1.00243,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,513.056,0.71535,0.59437,0.92066,0.78373,0.733,0.78505,0.57456,0.91,0.90924,1.01822,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,522.953,0.72969,0.60113,0.92943,0.79287,0.69267,0.78013,0.56172,0.95652,0.89751,1.04821,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,532.871,0.73349,0.5948,0.92411,0.76146,0.73122,0.78448,0.57435,0.90065,0.89534,1.01303,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,542.683,0.72324,0.59021,0.91899,0.79873,0.71364,0.78865,0.57795,0.8747,0.89247,0.99629,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,552.738,0.70698,0.58857,0.92366,0.75875,0.72963,0.79283,0.57096,0.93828,0.81389,1.04718,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,562.669,0.71351,0.57894,0.91898,0.75809,0.75617,0.79254,0.5886,0.89773,0.8567,1.0071,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,572.852,0.70816,0.57537,0.92149,0.79283,0.74436,0.78993,0.58153,0.88781,0.86131,0.99801,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,582.594,0.70882,0.57542,0.91843,0.8136,0.71251,0.80555,0.58404,0.91417,0.85129,1.03475,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,592.291,0.71089,0.57495,0.91891,0.81304,0.67991,0.77934,0.57244,0.928,0.91166,1.02421,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,602.264,0.72062,0.57906,0.9262,0.77661,0.70594,0.7742,0.57072,0.94133,0.9484,1.05341,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,612.15,0.70214,0.56715,0.91721,0.76201,0.72961,0.7937,0.59043,0.90287,0.87386,1.02131,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,622.096,0.70003,0.55983,0.91574,0.83267,0.69879,0.77977,0.57616,0.92862,0.96247,1.03692,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,632.048,0.68375,0.5508,0.91156,0.82724,0.708,0.77546,0.56699,0.94002,0.97966,1.05514,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,642.596,0.68988,0.55272,0.90777,0.76318,0.75275,0.78963,0.58099,0.89234,0.89873,1.01334,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,652.914,0.67909,0.55124,0.9159,0.79415,0.69741,0.76741,0.55902,0.92657,0.92914,1.04405,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,662.949,0.68696,0.54843,0.911,0.79773,0.69547,0.79005,0.5796,0.9188,0.87615,1.02509,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,673.169,0.68004,0.55596,0.91243,0.73517,0.77844,0.79994,0.58587,0.88544,0.84116,0.99843,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,683.317,0.68032,0.54633,0.91024,0.77235,0.74978,0.78155,0.58089,0.88812,0.91262,1.00686,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
